stock,score,n_tweets
一正蒲鉾,3.0,100
フォーカスシステムズ,2.64,25
ニュートン・フィナンシャル・コンサルティング,2.0,2
リンクアンドモチベーション,1.2131147540983607,61
ドリームインキュベータ,1.1111111111111112,99
協和発酵キリン,1.07,100
シップヘルスケアホールディングス,1.0,9
ソーシャルワイヤー,0.9777777777777777,45
コネクシオ,0.95,40
ブルボン,0.92,100
ムサシ,0.9186046511627907,86
田谷,0.79,100
日本アンテナ,0.7263157894736842,95
レーザーテック,0.69,100
鳥羽洋行,0.6666666666666666,3
サニックス,0.6,100
サンヨーホームズ,0.5,28
ジェネレーションパス,0.47,100
第一建設工業,0.4444444444444444,9
ヤマウラ,0.4,30
日本通信,0.38,100
ＴＡＴＥＲＵ,0.23,100
アイコム,0.22,100
トレンダーズ,0.16,100
電算,0.14,100
田辺三菱製薬,0.14,100
Ａｂａｌａｎｃｅ,0.04,100
日本創発グループ,0.0,1
ジー・テイスト,0.0,0
ボーソー油脂,-0.5,2
